diagnosis_postcode,current_postcode,count
4701,4701,1
4720,4720,1
4721,4613,1
4723,4306,1
4724,4724,1
4740,4358,1
4740,4510,1
4740,4740,15
4740,6638,1
4744,4744,2
4744,6714,1
4745,4745,1
4750,4750,1
4751,4751,1
4753,4152,1
4754,4754,1
4802,4800,1
4802,4802,1
4805,4805,1
4807,4807,3
4807,6174,1
4810,4810,2
4810,4815,1
4811,4811,1
4814,4814,2
4815,4815,1
4816,4816,1
4817,4812,1
4817,4817,4
4818,4815,1
4818,4818,2
4820,4053,1
4825,4825,2
4855,4855,1
4865,4123,1
4868,4868,1
4870,3144,1
4870,4870,2
4870,6054,1
4870,6163,2
4871,4892,1
4879,4879,1
4880,4520,1
5000,6171,1
5006,6714,1
5024,3082,1
5045,3121,1
5115,6108,1
5158,4034,1
5255,6532,1
5473,6751,1
6000,3182,1
6000,4014,1
6004,6051,1
6006,6006,1
6007,6007,1
6007,6050,1
6008,6008,2
6009,6009,4
6009,6010,1
6009,6112,1
6010,6010,4
6011,6011,4
6011,6012,3
6011,6285,1
6012,6010,1
6012,6012,3
6012,6912,1
6014,6008,1
6014,6014,9
6015,6014,1
6015,6015,3
6015,6019,1
6016,6009,1
6016,6016,3
6016,6060,1
6016,6281,1
6017,6023,1
6017,6147,1
6018,6018,12
6018,6019,1
6018,6020,1
6018,6024,1
6018,6054,1
6018,6060,1
6018,6084,1
6018,6566,1
6019,6018,2
6019,6019,4
6020,6020,6
6020,6025,1
6020,6061,1
6021,6021,6
6021,6023,1
6021,6024,1
6021,6239,1
6022,6022,4
6022,6060,1
6023,6023,7
6023,6027,1
6023,6069,1
6024,6008,1
6024,6024,5
6024,6026,3
6024,6230,1
6025,6012,1
6025,6025,8
6025,6285,1
6026,6026,10
6026,6065,1
6026,6560,1
6027,6026,1
6027,6027,21
6027,6028,1
6027,6035,1
6027,6036,3
6027,6038,1
6027,6064,1
6027,6163,1
6027,6215,1
6028,3153,1
6028,6027,3
6028,6028,18
6028,6030,1
6028,6065,1
6029,6026,1
6030,6023,1
6030,6026,1
6030,6027,1
6030,6028,1
6030,6030,17
6030,6031,1
6030,6035,1
6030,6036,1
6030,6038,1
6030,6059,1
6030,6065,2
6030,6083,1
6031,6027,1
6031,6031,6
6031,6034,1
6031,6038,1
6031,6065,2
6031,6111,1
6033,6065,1
6035,4172,1
6035,6035,5
6036,6036,4
6041,6041,3
6050,6014,1
6050,6019,1
6050,6050,3
6051,6051,2
6051,6061,1
6052,6052,7
6053,6003,1
6053,6053,7
6053,6062,1
6053,6111,1
6053,6180,1
6054,6054,10
6054,6064,1
6054,6110,1
6055,3500,1
6055,6055,5
6055,6153,1
6056,6055,1
6056,6056,15
6056,6057,1
6056,6069,1
6056,6210,1
6057,6057,5
6057,6123,1
6057,6169,1
6057,6230,1
6057,6510,1
6058,6058,2
6058,6122,1
6059,6059,9
6059,6062,2
6060,6022,1
6060,6060,6
6061,6061,16
6061,6069,1
6061,6112,1
6061,6163,1
6062,6055,1
6062,6059,1
6062,6062,11
6062,6069,1
6062,6105,1
6062,6110,1
6063,6063,7
6063,6065,1
6063,6112,1
6064,6027,2
6064,6031,1
6064,6059,1
6064,6064,14
6064,6065,1
6064,6069,1
6064,6285,1
6065,6024,1
6065,6031,1
6065,6034,1
6065,6065,24
6065,6066,1
6065,6069,1
6065,6078,1
6066,6063,1
6066,6064,1
6066,6066,8
6066,6069,1
6066,6084,1
6069,6055,1
6069,6069,18
6069,6108,1
6071,6009,1
6071,6071,2
6071,6072,1
6072,6056,1
6074,6074,1
6076,6004,1
6076,6069,1
6076,6076,5
6076,6112,1
6081,6081,1
6083,6154,1
6084,6125,1
6100,6100,3
6100,6151,1
6101,6056,1
6101,6101,2
6101,6150,1
6102,6102,1
6102,6155,1
6103,6103,2
6104,6100,1
6104,6104,2
6105,6101,1
6105,6105,10
6105,6112,1
6107,6107,11
6107,6155,1
6107,6164,1
6108,6107,1
6108,6108,15
6108,6258,1
6109,6107,1
6109,6110,1
6109,6155,1
6109,6239,1
6110,6107,1
6110,6110,15
6110,6112,1
6110,6122,2
6110,6164,1
6110,6169,1
6110,6210,2
6110,6233,1
6110,6308,1
6111,6111,12
6111,6112,1
6111,6174,1
6112,6069,1
6112,6110,2
6112,6111,1
6112,6112,18
6112,6121,1
6112,6122,2
6121,6121,1
6122,6109,1
6122,6122,4
6123,6122,1
6125,6125,1
6147,6112,1
6147,6122,1
6147,6147,6
6148,6112,1
6148,6148,6
6148,6149,1
6149,6149,13
6149,6230,1
6150,6076,1
6150,6150,6
6151,6018,1
6151,6151,5
6151,6208,1
6151,6701,1
6152,6148,1
6152,6152,4
6152,6431,1
6153,6153,4
6153,6164,2
6154,6154,1
6154,6211,1
6155,6076,1
6155,6104,1
6155,6108,1
6155,6112,1
6155,6154,1
6155,6155,26
6155,6210,1
6155,6285,1
6155,6450,1
6156,6156,5
6156,6169,1
6156,6280,1
6157,6157,7
6158,6158,2
6158,6160,1
6160,6160,2
6160,6163,1
6161,6169,1
6162,6162,6
6163,6112,1
6163,6154,1
6163,6162,1
6163,6163,14
6163,6164,5
6163,6167,1
6163,6170,1
6163,6210,1
6164,6056,1
6164,6122,1
6164,6155,2
6164,6164,26
6164,6167,1
6164,6244,1
6166,6164,1
6166,6166,5
6167,6033,1
6167,6105,1
6167,6167,7
6167,6170,1
6167,6174,1
6167,6330,1
6168,6168,6
6168,6169,1
6168,6171,1
6169,4221,1
6169,6163,1
6169,6167,1
6169,6168,2
6169,6169,13
6170,6163,1
6170,6170,3
6171,6122,1
6171,6149,1
6171,6169,1
6171,6171,11
6172,6112,1
6172,6169,1
6172,6172,11
6172,6173,1
6172,6211,1
6172,6722,1
6173,6173,4
6175,6175,1
6175,6210,1
6180,6180,2
6208,6107,1
6208,6208,4
6210,6012,1
6210,6030,1
6210,6162,1
6210,6171,1
6210,6181,1
6210,6210,34
6210,6211,1
6210,6280,1
6210,6285,1
6213,6213,1
6214,6180,1
6214,6210,1
6214,6214,2
6215,6215,1
6218,6560,1
6220,6220,2
6224,6224,1
6225,6225,4
6226,6226,1
6230,6171,1
6230,6210,1
6230,6230,24
6230,6233,1
6230,6236,1
6232,6230,1
6232,6232,7
6233,6233,9
6236,6236,1
6237,6237,1
6239,6239,6
6244,6244,1
6254,6254,2
6255,6069,1
6255,6237,1
6255,6255,3
6258,6230,1
6258,6258,1
6271,6271,1
6275,6275,1
6280,6122,1
6280,6210,1
6280,6280,11
6280,6281,1
6281,6281,3
6282,6280,1
6282,6282,1
6284,6284,1
6285,6110,1
6285,6285,4
6288,6288,1
6290,6290,1
6302,6110,1
6302,6302,2
6306,6107,1
6308,6169,1
6308,6308,1
6308,6312,1
6312,6230,1
6312,6312,4
6317,6208,1
6317,6317,2
6318,6430,1
6324,6324,2
6324,6330,1
6326,6333,1
6330,6168,1
6330,6330,12
6330,6337,1
6333,6333,3
6335,6335,1
6341,6121,1
6346,6070,1
6346,6346,1
6353,6176,1
6355,6355,1
6359,6359,2
6365,6365,1
6370,6370,2
6383,6383,1
6390,6111,1
6390,6112,1
6390,6230,1
6392,6392,3
6395,6317,1
6395,6330,1
6395,6395,1
6401,6056,1
6401,6401,6
